ID,Name,Category,Subcategory,Address,Phone,Website,Zip Codes Served,Languages,Hours (Mon),Hours (Tue),Hours (Wed),Hours (Thu),Hours (Fri),Hours (Sat),Hours (Sun),Service Delivery,Cost,Accepted Insurance,Copay,ADA Accessible,Transportation Assistance,Child Friendly,API Endpoint,Income Limit (% FPL),Household Size Min,Age Min,Age Max,Residency Required,Insurance Required,Documentation Required,Max Per Week,Base Utilization (%),Seasonal Notes,Availability Status,Available Slots,Wait Time (Days),Next Available,Simulated Utilization (%)
P001,Second Harvest Food Bank of OC – Anaheim,food,food_bank,"1525 Chapman Ave, Anaheim, CA 92801",714-710-3725,https://second-harvest-food-bank-of-oc.org,all_orange_county,en; vi; hy; tl; fa; ar; zh; es,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,home-delivered,20,Medi-Cal; CHIP,5,false,true,true,/api/programs/P001/availability,185,1,,21,Santa Ana,false,photo_id; proof_of_income; proof_of_address,480,45,Holiday surge Dec,open,283,0,immediate,41
P002,Manna Food Pantry – Santa Ana,food,food_pantry,"7860 Bristol St, Santa Ana, CA 92703",714-713-6226,https://manna-food-pantry.org,92688; 92844; 92672; 92804; 92708,en; hy; ar; es; vi; zh; km; ko; fa,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,home-delivered,0,,0,true,false,true,/api/programs/P002/availability,130,1,,21,Orange County,false,photo_id; proof_of_address,131,84,Holiday surge Dec,limited,16,8,2026-04-28,88
P003,WIC Clinic – Irvine,food,wic,"6836 Main St, Irvine, CA 92630",714-426-9323,https://wic-clinic.org,92688; 92807; 92866,hy; zh; ar; es; km; fa; ko; en; tl; vi,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,hybrid,0,Private,0,true,false,true,/api/programs/P003/availability,250,1,,,California,false,referral_from_hospital_or_doctor,227,38,,open,131,0,immediate,42
P004,CalFresh Enrollment Center – Orange,food,snap,"8873 Harbor Blvd, Orange, CA 92869",714-882-7052,https://calfresh-enrollment-center.org,all_orange_county,tl; ar; zh; vi; en; hy; ko; es; km; fa,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,home-delivered,25,Medi-Cal,5,false,false,true,/api/programs/P004/availability,250,1,,,California,true,photo_id; proof_of_income; proof_of_address,340,41,Increased availability summer,open,185,0,immediate,45
P005,Meals on Wheels – Garden Grove,food,home_delivered_meals,"5219 Oak Ave, Garden Grove, CA 92841",714-414-4988,https://meals-on-wheels.org,92677; 92701; 92867; 92833; 92868,en; ar; hy; es,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,hybrid,0,Medi-Cal; Medicare; Private,0,true,true,true,/api/programs/P005/availability,130,1,,,Anaheim,true,photo_id; proof_of_income; proof_of_address,143,80,Waitlist common Aug-Sep,limited,22,14,2026-05-04,85
P006,Community Fridge Network – Fullerton,food,community_fridge,"5326 Elm Blvd, Fullerton, CA 92832",714-350-5269,https://community-fridge-network.org,92806; 92630; 92663; 92845; 92782; 92869,en; ar; tl; ko; km; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,in-person,0,Medi-Cal; CHIP,0,true,false,true,/api/programs/P006/availability,185,1,,17,Santa Ana,false,photo_id,291,48,,open,141,0,immediate,51
P007,School Lunch Outreach Program – Huntington Beach,food,school_meals,"7609 Harbor Blvd, Huntington Beach, CA 92647",714-251-1387,https://school-lunch-outreach-program.org,all_orange_county,en; vi; zh; es,closed,9am-12pm,closed,9am-12pm,closed,9am-12pm,closed,in-person; home-delivered,20,Medi-Cal,5,true,false,true,/api/programs/P007/availability,130,1,,17,Orange County,true,photo_id,553,89,,limited,66,8,2026-04-28,88
P008,Healthy Families Food Pantry – Mission Viejo,food,food_pantry,"8253 Beach Blvd, Mission Viejo, CA 92692",714-821-2438,https://healthy-families-food-pantry.org,all_orange_county,en; zh; es; fa; ko; vi; hy,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-3pm,closed,home-delivered,25,Medi-Cal; Medicare,0,true,false,true,/api/programs/P008/availability,185,1,,,California,true,photo_id; proof_of_address,409,71,,open,126,2,2026-04-22,69
P009,St. Vincent de Paul Food Shelf – Lake Forest,food,food_pantry,"8863 Beach Blvd, Lake Forest, CA 92688",714-625-6842,https://st-vincent-de-paul-food-shelf.org,all_orange_county,vi; fa; ko; km; zh; es; hy; en; ar; tl,8am-4pm,8am-4pm,8am-4pm,8am-4pm,8am-4pm,closed,closed,home-delivered,10,Medi-Cal,20,false,true,true,/api/programs/P009/availability,200,1,,,Anaheim,true,photo_id; proof_of_address,155,68,Higher demand Nov-Jan,open,53,3,2026-04-23,66
P010,Catholic Charities Food Program – Westminster,food,food_bank,"1165 Katella Ave, Westminster, CA 92683",714-757-1834,https://catholic-charities-food-program.org,all_orange_county,en; vi; zh; es; ko; km; tl; fa,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-1pm,closed,hybrid,0,,0,true,true,true,/api/programs/P010/availability,,1,,17,Santa Ana,false,photo_id; proof_of_address,342,69,Waitlist common Aug-Sep,open,103,5,2026-04-25,70
